,DebtToIncomeRatio,count
608,0.20168,1
609,0.14914000000000002,1
610,4.03,1
611,0.0841,1
612,0.17775,1
613,0.05297999999999999,1
614,3.22,1
615,0.09777999999999999,1
616,0.321,1
617,0.19827,1
618,0.05779,1
619,0.13754,1
620,5.64,1
621,0.01784,1
622,0.18609,1
623,0.045689999999999995,1
624,0.028960000000000003,1
625,0.13468,1
626,0.05608,1
627,2.63,1
628,3.26,1
629,0.19632,1
630,0.08557999999999999,1
631,0.0765,1
632,4.21,1
633,0.12535,1
634,0.08732999999999999,1
635,0.03613,1
636,0.18067,1
637,0.1055,1
638,0.10759,1
639,0.20290999999999998,1
640,0.06023,1
641,0.39531,1
642,0.19237,1
643,0.1374,1
644,0.0233,1
645,0.015040000000000001,1
646,0.08857999999999999,1
647,0.04452,1
648,0.184,1
649,9.06,1
650,0.10260999999999999,1
651,0.07476000000000001,1
652,0.17074,1
653,1.4,1
654,0.18689,1
655,0.01371,1
656,0.11260999999999999,1
657,0.02383,1
658,0.14242,1
659,2.83,1
660,0.1267,1
661,0.16516,1
662,0.1684,1
663,0.18277000000000002,1
664,0.1454,1
665,0.11635999999999999,1
666,0.18849000000000002,1
667,0.09302,1
668,0.04746,1
669,0.06711,1
670,0.16443,1
671,0.18325,1
672,0.56576,1
673,0.19972,1
674,0.3555,1
675,0.07975,1
676,0.78342,1
677,0.034839999999999996,1
678,0.00677,1
679,0.19716,1
680,0.08154,1
681,0.02112,1
682,0.01992,1
683,2.57,1
684,0.016630000000000002,1
685,0.14363,1
686,0.17310999999999999,1
687,0.04395,1
688,2.47,1
689,0.09435,1
690,0.09166,1
691,0.18186,1
692,0.07652,1
693,0.29851,1
694,0.11383,1
695,0.06282,1
696,0.10325999999999999,1
697,0.19984000000000002,1
698,5.55,1
699,0.03149,1
700,0.23353000000000002,1
701,0.20426,1
702,0.12108,1
703,0.050539999999999995,1
704,0.08746,1
705,0.24464,1
706,0.07719,1
707,0.16527,1
708,0.0814,1
709,0.1769,1
710,6.66,1
711,0.36232,1
712,0.19644,1
713,0.05255,1
714,0.17318,1
715,0.2332,1
716,1.53,1
717,0.20373,1
718,1.68,1
719,0.06418,1
720,0.12832000000000002,1
721,0.31238,1
722,0.11423,1
723,0.19397999999999999,1
724,0.06055,1
725,5.59,1
726,0.0219,1
727,0.17077,1
728,0.18464,1
729,0.01581,1
730,0.16222999999999999,1
731,0.39181,1
732,0.15142,1
733,0.10355999999999999,1
734,2.21,1
735,0.16144,1
736,0.06558,1
737,0.029019999999999997,1
738,0.07578,1
739,0.06733,1
740,0.12044,1
741,4.86,1
742,0.10185,1
743,0.21215,1
